Nom;Année de naissance;Année de mort;
Germaine de Staël;1766;1817 ;
François-René de Chateaubriand;1768;1848 ;
Charles Nodier;1780;1844 ;
Stendhal;1783;1842 ;
Alfred de Vigny;1797;1863 ;
Honoré de Balzac;1799;1850 ;
Alexandre Dumas;1802;1870 ;
Victor Hugo;1802;1885 ;
Prosper Mérimée;1803;1870 ;
George Sand;1804;1876 ;
Jules Barbey d'Aurevilly;1808;1889 ;
Alfred de Musset;1810;1857 ;
Paul Féval;1816;1887 ;
Gustave Flaubert;1821;1880 ;
Jules Verne;1828;1905 ;
Ponson du Terrail;1829;1871 ;
Jules Vallès;1832;1885 ;
Alphonse Daudet;1840;1897 ;
Émile Zola;1840;1902 ;
Anatole France;1844;1924 ;
Joris-Karl Huysmans;1848;1907 ;
Octave Mirbeau;1848;1917 ;
Guy de Maupassant;1850;1893 ;
Paul Bourget;1852;1935 ;
Jules Renard;1864;1910 ;
Romain Rolland;1866;1944 ;
Paul Claudel;1868;1955 ;
André Gide;1869;1951 ;
Marcel Proust;1871;1922 ;
Charles Péguy;1873;1914 ;
Henri Barbusse;1873;1935 ;
Roger Martin du Gard;1881;1958 ;
"Jean Giraudoux	";1882;1944 ;
François Mauriac;1885;1970 ;
Jules Romains;1885;1972 ;
Alain-Fournier;1886;1914 ;
Blaise Cendrars;1887;1961 ;
Georges Bernanos;1888;1948 ;
Paul Morand;1888;1976 ;
Jean Cocteau;1889;1963 ;
Maurice Genevoix;1890;1980 ;
Louis-Ferdinand Céline;1894;1961 ;
Jean Giono;1895;1970 ;
Albert Cohen;1895;1981 ;
Louis Aragon;1897;1982 ;
Louis Guilloux;1899;1980 ;
Antoine de Saint-Exupéry;1900;1944 ;
Nathalie Sarraute;1900;1999 ;
André Malraux;1901;1976 ;
Raymond Queneau;1903;1976 ;
Marguerite Yourcenar;1903;1987 ;
Georges Simenon;1903;1989 ;
Jean-Paul Sartre;1905;1980 ;
Violette Leduc;1907;1972 ;
Simone de Beauvoir;1908;1986 ;
Jean Genet;1910;1986 ;
Julien Gracq;1910;2007 ;
René Barjavel;1911;1985 ;
Hervé Bazin;1911;1996 ;
Albert Camus;1913;1960 ;
Aimé Césaire;1913;2008 ;
Claude Simon;1913;2005 ;
Romain Gary;1914;1980 ;
Marguerite Duras;1914;1996 ;
Boris Vian;1920;1959 ;
Andrée Chedid;1920;2011 ;
Alain Robbe-Grillet;1922;2008 ;
Antoine Blondin;1922;1991 ;
Michel Tournier;1924;2016 ;
Michel Butor;1926;2016 ;
Ahmadou Kourouma;1927;2003 ;
Monique Wittig;1935;2003 ;
Françoise Sagan;1935;2004 ;
Assia Djebar;1936;2015 ;
Georges Perec;1936;1982 ;
Jean-Marie Gustave Le Clézio;1940;;
Jean-Patrick Manchette;1942;1995 ;
Patrick Modiano;1945;;
Pascal Quignard;1948;;
Yasmina Khadra;1955;;
Michel Houellebecq;1956;;
Amélie Nothomb;1966;;
Marie NDiaye;1967;;
Marie Darrieussecq;1969;;